date,hotel_id,adr,rooms_sold,revenue
2024-03-04,Hotel_A,138.57,88,12194.34
2024-03-05,Hotel_A,138.53,63,8727.13
2024-03-06,Hotel_A,128.72,73,9396.65
2024-03-07,Hotel_A,127.18,49,6231.91
2024-03-08,Hotel_A,137.15,69,9463.62
2024-03-09,Hotel_A,128.21,114,14616.07
2024-03-10,Hotel_A,119.03,74,8808.34
2024-03-11,Hotel_A,119.71,49,5865.89
2024-03-12,Hotel_A,121.01,92,11133.07
2024-03-13,Hotel_A,131.98,117,15441.92
2024-03-14,Hotel_A,128.83,109,14042.73
2024-03-15,Hotel_A,132.96,61,8110.34
2024-03-16,Hotel_A,123.81,76,9409.27
2024-03-17,Hotel_A,128.34,82,10523.67
2024-03-18,Hotel_A,131.97,59,7786.37
2024-03-19,Hotel_A,124.45,61,7591.18
2024-03-20,Hotel_A,130.58,58,7573.71
2024-03-21,Hotel_A,121.69,119,14481.42
2024-03-22,Hotel_A,124.2,99,12295.65
2024-03-23,Hotel_A,124.22,107,13291.27
2024-03-24,Hotel_A,117.93,105,12382.23
2024-03-25,Hotel_A,131.66,116,15272.79
2024-03-26,Hotel_A,124.34,48,5968.11
2024-03-27,Hotel_A,128.57,110,14142.2
2024-03-28,Hotel_A,132.73,45,5973.06
2024-03-29,Hotel_A,132.93,78,10368.64
2024-03-30,Hotel_A,135.2,87,11762.2
2024-03-31,Hotel_A,129.65,68,8815.93
2024-04-01,Hotel_A,127.65,51,6510.06
2024-04-02,Hotel_A,131.04,55,7207.03
2024-04-03,Hotel_A,118.85,105,12479.56
2024-04-04,Hotel_A,121.49,65,7896.61
2024-04-05,Hotel_A,123.23,64,7886.42
2024-04-06,Hotel_A,126.6,113,14306.01
2024-04-07,Hotel_A,138.58,51,7067.45
2024-04-08,Hotel_A,128.96,113,14572.3
2024-04-09,Hotel_A,134.02,113,15144.34
2024-04-10,Hotel_A,148.3,87,12902.2
2024-04-11,Hotel_A,135.93,53,7204.45
2024-04-12,Hotel_A,145.57,52,7569.66
2024-04-13,Hotel_A,133.1,62,8251.99
2024-04-14,Hotel_A,139.82,86,12024.7
2024-04-15,Hotel_A,134.77,52,7007.89
2024-04-16,Hotel_A,140.56,76,10682.2
2024-04-17,Hotel_A,150.89,49,7393.37
2024-04-18,Hotel_A,131.23,83,10892.2
2024-04-19,Hotel_A,149.4,41,6125.44
2024-04-20,Hotel_A,148.69,96,14274.13
2024-04-21,Hotel_A,142.88,44,6286.61
2024-04-22,Hotel_A,136.89,55,7528.69
2024-04-23,Hotel_A,149.83,53,7941.0
2024-04-24,Hotel_A,145.79,106,15453.76
2024-04-25,Hotel_A,152.63,44,6715.77
2024-04-26,Hotel_A,151.66,74,11222.55
2024-04-27,Hotel_A,164.97,87,14352.62
2024-04-28,Hotel_A,150.88,81,12221.57
2024-04-29,Hotel_A,145.21,94,13649.84
2024-04-30,Hotel_A,155.39,104,16160.82
2024-05-01,Hotel_A,156.23,71,11092.61
2024-05-02,Hotel_A,165.82,106,17576.68
2024-05-03,Hotel_A,162.05,65,10533.15
2024-05-04,Hotel_A,158.6,118,18714.45
2024-05-05,Hotel_A,167.77,80,13421.85
2024-05-06,Hotel_A,146.83,98,14389.35
2024-05-07,Hotel_A,151.44,110,16658.79
2024-05-08,Hotel_A,149.32,103,15379.7
2024-05-09,Hotel_A,153.73,108,16602.46
2024-05-10,Hotel_A,145.89,82,11963.18
2024-05-11,Hotel_A,161.99,43,6965.74
2024-05-12,Hotel_A,155.09,79,12251.91
2024-05-13,Hotel_A,145.0,54,7829.86
2024-05-14,Hotel_A,148.48,111,16481.73
2024-05-15,Hotel_A,158.91,58,9216.7
2024-05-16,Hotel_A,162.84,58,9445.01
2024-05-17,Hotel_A,171.8,59,10136.31
2024-05-18,Hotel_A,178.78,91,16268.68
2024-05-19,Hotel_A,158.37,85,13461.44
2024-05-20,Hotel_A,146.68,115,16868.15
2024-05-21,Hotel_A,137.04,73,10003.56
2024-05-22,Hotel_A,155.68,62,9652.44
2024-05-23,Hotel_A,146.45,43,6297.3
2024-05-24,Hotel_A,149.0,40,5959.96
2024-05-25,Hotel_A,146.76,69,10126.24
2024-05-26,Hotel_A,149.82,114,17079.98
2024-05-27,Hotel_A,158.74,81,12858.16
2024-05-28,Hotel_A,150.71,111,16728.3
2024-05-29,Hotel_A,147.39,48,7074.57
2024-05-30,Hotel_A,139.55,47,6559.0
2024-05-31,Hotel_A,133.6,106,14161.83
2024-06-01,Hotel_A,142.25,48,6828.1
2024-06-02,Hotel_A,144.84,44,6372.95
2024-06-03,Hotel_A,158.53,72,11414.08
2024-06-04,Hotel_A,144.53,113,16332.35
2024-06-05,Hotel_A,150.45,95,14293.19
2024-06-06,Hotel_A,137.7,47,6471.74
2024-06-07,Hotel_A,131.31,106,13918.93
2024-06-08,Hotel_A,132.17,107,14142.45
2024-06-09,Hotel_A,133.2,104,13853.02
2024-06-10,Hotel_A,155.15,112,17377.11
2024-06-11,Hotel_A,130.69,59,7710.63
2024-06-12,Hotel_A,143.12,118,16888.08
2024-06-13,Hotel_A,128.36,65,8343.37
2024-06-14,Hotel_A,142.23,104,14791.91
2024-06-15,Hotel_A,137.08,86,11788.63
2024-06-16,Hotel_A,131.99,102,13463.3
2024-06-17,Hotel_A,132.2,90,11898.03
2024-06-18,Hotel_A,126.6,91,11520.8
2024-06-19,Hotel_A,134.76,89,11993.6
2024-06-20,Hotel_A,126.94,102,12947.92
2024-06-21,Hotel_A,120.21,99,11900.36
2024-06-22,Hotel_A,119.26,50,5963.01
2024-06-23,Hotel_A,130.38,106,13820.56
2024-06-24,Hotel_A,141.2,82,11578.36
2024-06-25,Hotel_A,129.46,65,8414.89
2024-06-26,Hotel_A,126.89,81,10278.38
2024-06-27,Hotel_A,129.84,117,15191.62
2024-06-28,Hotel_A,137.77,108,14879.14
2024-06-29,Hotel_A,128.9,106,13662.88
2024-06-30,Hotel_A,123.72,77,9526.77
2024-07-01,Hotel_A,135.79,102,13850.33
2024-07-02,Hotel_A,130.35,70,9124.29
2024-07-03,Hotel_A,139.24,94,13088.26
2024-07-04,Hotel_A,128.5,91,11693.92
2024-07-05,Hotel_A,117.38,59,6925.7
2024-07-06,Hotel_A,116.43,61,7102.24
2024-07-07,Hotel_A,140.83,44,6196.54
2024-07-08,Hotel_A,141.71,51,7227.29
2024-07-09,Hotel_A,126.84,74,9385.85
2024-07-10,Hotel_A,125.61,78,9797.24
2024-07-11,Hotel_A,140.81,53,7462.91
2024-07-12,Hotel_A,120.75,73,8815.11
2024-07-13,Hotel_A,122.99,88,10823.22
2024-07-14,Hotel_A,135.88,58,7880.8
2024-07-15,Hotel_A,128.19,67,8588.93
2024-07-16,Hotel_A,131.97,69,9105.77
2024-07-17,Hotel_A,131.4,80,10511.66
2024-07-18,Hotel_A,136.13,69,9393.1
2024-07-19,Hotel_A,145.45,98,14254.07
2024-07-20,Hotel_A,135.7,66,8956.27
2024-07-21,Hotel_A,140.94,74,10429.52
2024-07-22,Hotel_A,120.22,70,8415.43
2024-07-23,Hotel_A,137.08,54,7402.58
2024-07-24,Hotel_A,131.6,94,12370.19
2024-07-25,Hotel_A,129.47,58,7509.55
2024-07-26,Hotel_A,133.09,63,8384.78
2024-07-27,Hotel_A,138.34,103,14249.24
2024-07-28,Hotel_A,149.24,115,17163.03
2024-01-01,Hotel_B,167.17,113,18889.8
2024-01-02,Hotel_B,163.63,119,19471.79
2024-01-03,Hotel_B,158.62,116,18399.92
2024-01-04,Hotel_B,169.95,84,14275.83
2024-01-05,Hotel_B,160.39,56,8981.99
2024-01-06,Hotel_B,164.37,107,17587.97
2024-01-07,Hotel_B,156.23,104,16247.92
2024-01-08,Hotel_B,159.97,119,19036.28
2024-01-09,Hotel_B,154.67,92,14229.51
2024-01-10,Hotel_B,168.95,51,8616.51
2024-01-11,Hotel_B,152.37,80,12189.33
2024-01-12,Hotel_B,168.78,75,12658.49
2024-01-13,Hotel_B,161.69,107,17300.88
2024-01-14,Hotel_B,173.24,71,12300.36
2024-01-15,Hotel_B,170.5,66,11253.14
2024-01-16,Hotel_B,179.64,46,8263.46
2024-01-17,Hotel_B,171.46,106,18174.68
2024-01-18,Hotel_B,153.53,100,15352.99
2024-01-19,Hotel_B,166.02,43,7138.76
2024-01-20,Hotel_B,157.58,74,11660.64
2024-01-21,Hotel_B,163.16,78,12726.16
2024-01-22,Hotel_B,179.69,77,13836.22
2024-01-23,Hotel_B,172.95,113,19543.25
2024-01-24,Hotel_B,162.45,52,8447.52
2024-01-25,Hotel_B,160.08,64,10244.85
2024-01-26,Hotel_B,168.54,54,9100.93
2024-01-27,Hotel_B,158.57,59,9355.92
2024-01-28,Hotel_B,162.92,112,18246.81
2024-01-29,Hotel_B,170.71,115,19631.5
2024-01-30,Hotel_B,177.33,43,7625.05
2024-01-31,Hotel_B,172.77,90,15549.54
2024-02-01,Hotel_B,149.34,58,8661.59
2024-02-02,Hotel_B,169.82,55,9339.91
2024-02-03,Hotel_B,167.62,63,10560.1
2024-02-04,Hotel_B,169.97,55,9348.28
2024-02-05,Hotel_B,179.15,79,14153.02
2024-02-06,Hotel_B,149.23,119,17758.93
2024-02-07,Hotel_B,160.49,86,13801.71
2024-02-08,Hotel_B,169.37,97,16429.02
2024-02-09,Hotel_B,151.38,79,11959.07
2024-02-10,Hotel_B,175.19,41,7182.85
2024-02-11,Hotel_B,165.64,46,7619.66
2024-02-12,Hotel_B,168.75,61,10293.79
2024-02-13,Hotel_B,156.66,59,9242.9
2024-02-14,Hotel_B,166.96,107,17864.42
2024-02-15,Hotel_B,168.19,107,17996.25
2024-02-16,Hotel_B,160.68,108,17353.0
2024-02-17,Hotel_B,159.84,91,14545.42
2024-02-18,Hotel_B,159.26,84,13378.01
2024-02-19,Hotel_B,149.31,91,13587.54
2024-02-20,Hotel_B,154.15,72,11098.85
2024-02-21,Hotel_B,153.21,93,14248.9
2024-02-22,Hotel_B,156.6,103,16129.85
2024-02-23,Hotel_B,160.63,101,16223.65
2024-02-24,Hotel_B,143.26,89,12750.51
2024-02-25,Hotel_B,149.84,44,6592.91
2024-02-26,Hotel_B,161.81,97,15695.18
2024-02-27,Hotel_B,143.13,69,9876.19
2024-02-28,Hotel_B,141.65,99,14023.02
2024-02-29,Hotel_B,149.0,83,12367.35
2024-03-01,Hotel_B,153.32,110,16865.58
2024-03-02,Hotel_B,145.87,67,9773.07
2024-03-03,Hotel_B,155.64,114,17743.09
2024-03-04,Hotel_B,151.13,107,16170.69
2024-03-05,Hotel_B,150.3,66,9920.13
2024-03-06,Hotel_B,147.34,78,11492.16
2024-03-07,Hotel_B,160.89,82,13193.24
2024-03-08,Hotel_B,140.04,101,14144.06
2024-03-09,Hotel_B,125.1,95,11884.95
2024-03-10,Hotel_B,153.46,108,16573.95
2024-03-11,Hotel_B,136.51,69,9419.06
2024-03-12,Hotel_B,140.62,80,11249.73
2024-03-13,Hotel_B,149.87,74,11090.58
2024-03-14,Hotel_B,126.27,112,14141.83
2024-03-15,Hotel_B,128.81,64,8243.88
2024-03-16,Hotel_B,125.81,86,10819.26
2024-03-17,Hotel_B,132.11,49,6473.26
2024-03-18,Hotel_B,141.88,108,15322.63
2024-03-19,Hotel_B,142.51,70,9975.36
2024-03-20,Hotel_B,140.53,67,9415.42
2024-03-21,Hotel_B,127.08,86,10928.64
2024-03-22,Hotel_B,120.01,79,9481.06
2024-03-23,Hotel_B,139.1,107,14883.44
2024-03-24,Hotel_B,135.11,82,11079.01
2024-03-25,Hotel_B,142.83,81,11569.45
2024-03-26,Hotel_B,145.1,48,6964.7
2024-03-27,Hotel_B,140.96,41,5779.47
2024-03-28,Hotel_B,146.36,71,10391.64
2024-03-29,Hotel_B,142.58,119,16967.5
2024-03-30,Hotel_B,145.51,113,16442.24
2024-03-31,Hotel_B,136.19,90,12256.91
2024-04-01,Hotel_B,140.99,90,12689.01
2024-04-02,Hotel_B,144.64,71,10269.45
2024-04-03,Hotel_B,150.31,54,8116.59
2024-04-04,Hotel_B,141.3,40,5652.19
2024-04-05,Hotel_B,149.37,67,10007.63
2024-04-06,Hotel_B,143.84,65,9349.89
2024-04-07,Hotel_B,145.83,55,8020.66
2024-04-08,Hotel_B,154.23,60,9253.79
2024-04-09,Hotel_B,132.49,41,5432.21
2024-04-10,Hotel_B,138.93,88,12225.57
2024-04-11,Hotel_B,138.32,114,15768.14
2024-04-12,Hotel_B,132.39,95,12577.3
2024-04-13,Hotel_B,146.53,75,10989.8
2024-04-14,Hotel_B,158.85,73,11596.23
2024-04-15,Hotel_B,151.48,64,9694.7
2024-04-16,Hotel_B,156.24,51,7968.3
2024-04-17,Hotel_B,164.27,87,14291.3
2024-04-18,Hotel_B,167.06,85,14200.33
2024-04-19,Hotel_B,156.76,40,6270.56
2024-04-20,Hotel_B,169.01,73,12337.51
2024-04-21,Hotel_B,159.76,62,9905.06
2024-04-22,Hotel_B,153.15,53,8116.73
2024-04-23,Hotel_B,155.89,96,14965.38
2024-04-24,Hotel_B,149.57,82,12265.0
2024-04-25,Hotel_B,155.06,90,13955.04
2024-04-26,Hotel_B,160.01,97,15520.83
2024-04-27,Hotel_B,169.98,118,20057.45
2024-04-28,Hotel_B,177.96,104,18507.41
2024-04-29,Hotel_B,153.73,89,13682.24
2024-04-30,Hotel_B,168.49,110,18534.15
2024-05-01,Hotel_B,157.54,78,12288.2
2024-05-02,Hotel_B,170.13,118,20075.72
2024-05-03,Hotel_B,165.71,100,16571.02
2024-05-04,Hotel_B,152.49,92,14028.73
2024-05-05,Hotel_B,174.88,112,19587.06
2024-05-06,Hotel_B,162.89,81,13194.22
2024-05-07,Hotel_B,163.68,97,15877.13
2024-05-08,Hotel_B,159.56,62,9892.93
2024-05-09,Hotel_B,163.0,117,19071.24
2024-05-10,Hotel_B,171.72,89,15283.11
2024-05-11,Hotel_B,166.79,102,17012.59
2024-05-12,Hotel_B,170.89,76,12987.33
2024-05-13,Hotel_B,171.05,109,18644.51
2024-05-14,Hotel_B,178.57,45,8035.44
2024-05-15,Hotel_B,165.05,49,8087.43
2024-05-16,Hotel_B,155.72,80,12457.32
2024-05-17,Hotel_B,175.76,98,17224.2
2024-05-18,Hotel_B,164.21,104,17077.34
2024-05-19,Hotel_B,175.36,75,13152.2
2024-05-20,Hotel_B,169.05,91,15383.94
2024-05-21,Hotel_B,164.43,84,13812.43
2024-05-22,Hotel_B,167.72,116,19456.03
2024-05-23,Hotel_B,179.95,92,16555.57
2024-05-24,Hotel_B,180.33,73,13164.03
2024-05-25,Hotel_B,163.6,117,19141.24
2024-05-26,Hotel_B,163.62,48,7853.93
2024-05-27,Hotel_B,170.22,118,20085.5
2024-05-28,Hotel_B,154.08,52,8011.9
2024-05-29,Hotel_B,162.71,63,10250.85
2024-05-30,Hotel_B,159.02,105,16697.41
2024-05-31,Hotel_B,160.9,98,15768.43
2024-06-01,Hotel_B,150.87,117,17651.42
2024-06-02,Hotel_B,143.94,99,14250.54
2024-06-03,Hotel_B,139.19,90,12527.36
2024-06-04,Hotel_B,145.94,67,9778.26
2024-06-05,Hotel_B,150.31,40,6012.59
2024-06-06,Hotel_B,150.74,49,7386.11
2024-06-07,Hotel_B,167.68,63,10563.8
2024-06-08,Hotel_B,160.13,43,6885.71
2024-06-09,Hotel_B,142.7,80,11415.89
2024-06-10,Hotel_B,152.3,102,15534.4
2024-06-11,Hotel_B,145.39,117,17011.16
2024-06-12,Hotel_B,145.53,79,11496.7
2024-06-13,Hotel_B,148.46,110,16330.25
2024-06-14,Hotel_B,151.12,118,17832.4
2024-06-15,Hotel_B,142.67,108,15408.87
2024-06-16,Hotel_B,153.15,77,11792.43
2024-06-17,Hotel_B,134.78,66,8895.63
2024-06-18,Hotel_B,143.28,118,16907.34
2024-06-19,Hotel_B,163.36,59,9638.46
2024-06-20,Hotel_B,143.76,72,10350.45
2024-06-21,Hotel_B,152.87,45,6879.04
2024-06-22,Hotel_B,141.61,103,14585.55
2024-06-23,Hotel_B,145.04,91,13198.59
2024-06-24,Hotel_B,139.5,46,6417.18
2024-06-25,Hotel_B,138.21,57,7877.85
2024-06-26,Hotel_B,133.0,84,11171.84
2024-06-27,Hotel_B,142.39,83,11818.37
2024-06-28,Hotel_B,131.9,104,13717.69
2024-06-29,Hotel_B,143.86,61,8775.22
2024-06-30,Hotel_B,147.09,113,16620.65
2024-07-01,Hotel_B,141.26,75,10594.56
2024-07-02,Hotel_B,136.02,105,14281.92
2024-07-03,Hotel_B,141.97,59,8376.46
2024-07-04,Hotel_B,135.96,42,5710.35
2024-07-05,Hotel_B,146.06,44,6426.47
2024-07-06,Hotel_B,124.12,69,8563.98
2024-07-07,Hotel_B,136.33,116,15814.22
2024-07-08,Hotel_B,123.39,43,5305.64
2024-07-09,Hotel_B,127.7,69,8811.5
2024-07-10,Hotel_B,150.97,48,7246.72
2024-07-11,Hotel_B,147.67,114,16834.48
2024-07-12,Hotel_B,135.25,94,12713.2
2024-07-13,Hotel_B,129.52,101,13081.55
2024-07-14,Hotel_B,118.4,97,11485.22
2024-07-15,Hotel_B,138.39,92,12732.18
2024-07-16,Hotel_B,162.76,101,16439.1
2024-07-17,Hotel_B,147.57,40,5902.95
2024-07-18,Hotel_B,140.35,109,15297.72
2024-07-19,Hotel_B,149.3,99,14780.88
2024-07-20,Hotel_B,133.88,99,13254.13
2024-07-21,Hotel_B,144.8,71,10280.85
2024-07-22,Hotel_B,148.81,104,15476.13
2024-07-23,Hotel_B,148.18,70,10372.4
2024-07-24,Hotel_B,156.06,43,6710.64
2024-07-25,Hotel_B,153.37,112,17177.89
2024-07-26,Hotel_B,156.86,58,9097.59
2024-07-27,Hotel_B,146.9,48,7051.18
2024-07-28,Hotel_B,160.49,89,14283.64
2024-01-01,Hotel_C,148.91,115,17124.29
2024-01-02,Hotel_C,151.7,85,12894.73
2024-01-03,Hotel_C,145.49,75,10911.91
2024-01-04,Hotel_C,155.11,48,7445.29
2024-01-05,Hotel_C,147.96,102,15091.44
2024-01-06,Hotel_C,149.8,112,16777.46
2024-01-07,Hotel_C,164.85,95,15660.36
2024-01-08,Hotel_C,146.45,109,15963.47
2024-01-09,Hotel_C,136.29,108,14719.09
2024-01-10,Hotel_C,169.26,103,17434.21
2024-01-11,Hotel_C,177.53,80,14202.39
2024-01-12,Hotel_C,154.62,47,7267.19
2024-01-13,Hotel_C,143.06,40,5722.53
2024-01-14,Hotel_C,156.73,56,8777.04
2024-01-15,Hotel_C,157.55,74,11658.52
2024-01-16,Hotel_C,158.9,99,15730.92
2024-01-17,Hotel_C,152.05,76,11555.66
2024-01-18,Hotel_C,166.08,41,6809.48
2024-01-19,Hotel_C,166.09,56,9301.12
2024-01-20,Hotel_C,150.34,118,17740.03
2024-01-21,Hotel_C,168.24,119,20020.3
2024-01-22,Hotel_C,179.36,70,12555.55
2024-01-23,Hotel_C,164.57,104,17114.94
2024-01-24,Hotel_C,160.69,97,15586.68
2024-01-25,Hotel_C,162.39,114,18512.66
2024-01-26,Hotel_C,168.54,111,18707.69
2024-01-27,Hotel_C,149.8,90,13482.38
2024-01-28,Hotel_C,164.94,71,11711.05
2024-01-29,Hotel_C,160.43,90,14438.8
2024-01-30,Hotel_C,178.21,65,11583.59
2024-01-31,Hotel_C,161.85,67,10844.04
2024-02-01,Hotel_C,176.35,88,15519.09
2024-02-02,Hotel_C,153.89,85,13080.99
2024-02-03,Hotel_C,167.08,86,14369.28
2024-02-04,Hotel_C,164.55,70,11518.85
2024-02-05,Hotel_C,154.61,72,11132.08
2024-02-06,Hotel_C,162.5,40,6500.08
2024-02-07,Hotel_C,170.26,88,14982.54
2024-02-08,Hotel_C,157.4,86,13536.05
2024-02-09,Hotel_C,145.84,114,16625.74
2024-02-10,Hotel_C,158.59,80,12686.84
2024-02-11,Hotel_C,150.82,77,11613.19
2024-02-12,Hotel_C,154.58,45,6956.17
2024-02-13,Hotel_C,155.92,55,8575.4
2024-02-14,Hotel_C,142.14,67,9523.65
2024-02-15,Hotel_C,142.06,70,9944.08
2024-02-16,Hotel_C,158.01,69,10902.8
2024-02-17,Hotel_C,149.12,71,10587.87
2024-02-18,Hotel_C,131.92,101,13324.28
2024-02-19,Hotel_C,157.84,50,7892.07
2024-02-20,Hotel_C,152.85,66,10088.24
2024-02-21,Hotel_C,144.07,53,7635.46
2024-02-22,Hotel_C,138.34,64,8853.81
2024-02-23,Hotel_C,154.66,94,14538.07
2024-02-24,Hotel_C,149.87,43,6444.39
2024-02-25,Hotel_C,165.24,67,11071.21
2024-02-26,Hotel_C,148.66,41,6094.98
2024-02-27,Hotel_C,147.53,116,17112.98
2024-02-28,Hotel_C,142.23,98,13938.68
2024-02-29,Hotel_C,149.26,59,8806.47
2024-03-01,Hotel_C,146.91,55,8080.12
2024-03-02,Hotel_C,151.13,47,7103.17
2024-03-03,Hotel_C,136.18,77,10485.94
2024-03-04,Hotel_C,136.13,100,13613.25
2024-03-05,Hotel_C,135.08,86,11616.86
2024-03-06,Hotel_C,144.57,110,15902.81
2024-03-07,Hotel_C,149.6,67,10023.28
2024-03-08,Hotel_C,133.35,62,8267.88
2024-03-09,Hotel_C,133.08,78,10380.0
2024-03-10,Hotel_C,138.48,56,7755.06
2024-03-11,Hotel_C,133.55,118,15758.41
2024-03-12,Hotel_C,142.72,54,7706.73
2024-03-13,Hotel_C,116.72,78,9104.5
2024-03-14,Hotel_C,127.81,81,10352.85
2024-03-15,Hotel_C,127.91,44,5627.89
2024-03-16,Hotel_C,115.39,77,8885.41
2024-03-17,Hotel_C,126.09,76,9583.11
2024-03-18,Hotel_C,126.38,60,7582.8
2024-03-19,Hotel_C,132.04,50,6602.25
2024-03-20,Hotel_C,142.56,43,6130.27
2024-03-21,Hotel_C,131.76,40,5270.44
2024-03-22,Hotel_C,125.59,78,9796.02
2024-03-23,Hotel_C,133.55,47,6276.82
2024-03-24,Hotel_C,142.62,116,16543.88
2024-03-25,Hotel_C,126.69,59,7474.83
2024-03-26,Hotel_C,127.54,92,11733.66
2024-03-27,Hotel_C,139.67,93,12989.07
2024-03-28,Hotel_C,133.85,79,10574.15
2024-03-29,Hotel_C,141.27,110,15539.96
2024-03-30,Hotel_C,136.5,48,6551.95
2024-03-31,Hotel_C,142.78,58,8281.28
2024-04-01,Hotel_C,129.49,60,7769.25
2024-04-02,Hotel_C,138.31,50,6915.57
2024-04-03,Hotel_C,137.4,63,8656.18
2024-04-04,Hotel_C,130.07,65,8454.53
2024-04-05,Hotel_C,128.03,101,12931.29
2024-04-06,Hotel_C,146.8,64,9395.16
2024-04-07,Hotel_C,139.31,110,15323.57
2024-04-08,Hotel_C,134.76,101,13610.52
2024-04-09,Hotel_C,143.01,112,16017.13
2024-04-10,Hotel_C,153.66,48,7375.92
2024-04-11,Hotel_C,127.27,118,15017.95
2024-04-12,Hotel_C,134.43,89,11964.33
2024-04-13,Hotel_C,139.92,118,16510.08
2024-04-14,Hotel_C,159.89,68,10872.42
2024-04-15,Hotel_C,151.36,116,17557.95
2024-04-16,Hotel_C,156.14,87,13584.14
2024-04-17,Hotel_C,141.77,45,6379.87
2024-04-18,Hotel_C,142.83,72,10283.55
2024-04-19,Hotel_C,156.24,51,7968.33
2024-04-20,Hotel_C,153.99,115,17708.47
2024-04-21,Hotel_C,158.75,64,10160.26
2024-04-22,Hotel_C,153.69,57,8760.1
2024-04-23,Hotel_C,158.21,84,13289.8
2024-04-24,Hotel_C,158.02,74,11693.82
2024-04-25,Hotel_C,163.73,47,7695.09
2024-04-26,Hotel_C,164.67,105,17290.45
2024-04-27,Hotel_C,145.93,107,15614.82
2024-04-28,Hotel_C,141.55,99,14013.82
2024-04-29,Hotel_C,168.15,89,14965.05
2024-04-30,Hotel_C,170.19,72,12253.94
2024-05-01,Hotel_C,153.04,83,12702.53
2024-05-02,Hotel_C,146.8,81,11890.73
2024-05-03,Hotel_C,162.89,53,8633.35
2024-05-04,Hotel_C,169.92,46,7816.43
2024-05-05,Hotel_C,177.18,60,10630.86
2024-05-06,Hotel_C,167.2,76,12707.52
2024-05-07,Hotel_C,160.32,52,8336.71
2024-05-08,Hotel_C,156.32,48,7503.29
2024-05-09,Hotel_C,163.67,108,17676.37
2024-05-10,Hotel_C,161.25,69,11125.93
2024-05-11,Hotel_C,155.53,86,13375.21
2024-05-12,Hotel_C,179.99,81,14579.1
2024-05-13,Hotel_C,177.78,98,17422.31
2024-05-14,Hotel_C,172.43,99,17070.63
2024-05-15,Hotel_C,155.77,63,9813.34
2024-05-16,Hotel_C,169.71,107,18159.36
2024-05-17,Hotel_C,167.68,69,11569.82
