date,Hotel_A,Hotel_B,Hotel_C
2024-04-20,148.69,169.01,153.99
2024-04-21,142.88,159.76,158.75
2024-04-22,136.89,153.15,153.69
2024-04-23,149.83,155.89,158.21
2024-04-24,145.79,149.57,158.02
2024-04-25,152.63,155.06,163.73
2024-04-26,151.66,160.01,164.67
2024-04-27,164.97,169.98,145.93
2024-04-28,150.88,177.96,141.55
2024-04-29,145.21,153.73,168.15
2024-04-30,155.39,168.49,170.19
2024-05-01,156.23,157.54,153.04
2024-05-02,165.82,170.13,146.8
2024-05-03,162.05,165.71,162.89
2024-05-04,158.6,152.49,169.92
2024-05-05,167.77,174.88,177.18
2024-05-06,146.83,162.89,167.2
2024-05-07,151.44,163.68,160.32
2024-05-08,149.32,159.56,156.32
2024-05-09,153.73,163.0,163.67
2024-05-10,145.89,171.72,161.25
2024-05-11,161.99,166.79,155.53
2024-05-12,155.09,170.89,179.99
2024-05-13,145.0,171.05,177.78
2024-05-14,148.48,178.57,172.43
2024-05-15,158.91,165.05,155.77
2024-05-16,162.84,155.72,169.71
2024-05-17,171.8,175.76,167.68
2024-05-18,178.78,164.21,165.74
2024-05-19,158.37,175.36,171.79
2024-05-20,146.68,169.05,166.41
2024-05-21,137.04,164.43,166.75
2024-05-22,155.68,167.72,165.37
2024-05-23,146.45,179.95,162.41
2024-05-24,149.0,180.33,144.79
2024-05-25,146.76,163.6,159.06
2024-05-26,149.82,163.62,153.23
2024-05-27,158.74,170.22,146.71
2024-05-28,150.71,154.08,169.64
2024-05-29,147.39,162.71,169.22
2024-05-30,139.55,159.02,165.45
2024-05-31,133.6,160.9,155.77
2024-06-01,142.25,150.87,163.68
2024-06-02,144.84,143.94,152.1
2024-06-03,158.53,139.19,152.74
2024-06-04,144.53,145.94,141.48
2024-06-05,150.45,150.31,152.5
2024-06-06,137.7,150.74,148.91
2024-06-07,131.31,167.68,137.1
2024-06-08,132.17,160.13,146.22
2024-06-09,133.2,142.7,145.1
2024-06-10,155.15,152.3,159.24
2024-06-11,130.69,145.39,151.15
2024-06-12,143.12,145.53,143.24
2024-06-13,128.36,148.46,144.31
2024-06-14,142.23,151.12,141.86
2024-06-15,137.08,142.67,139.11
2024-06-16,131.99,153.15,131.32
2024-06-17,132.2,134.78,138.05
2024-06-18,126.6,143.28,132.61
2024-06-19,134.76,163.36,127.92
2024-06-20,126.94,143.76,141.4
2024-06-21,120.21,152.87,139.87
2024-06-22,119.26,141.61,121.92
2024-06-23,130.38,145.04,134.75
2024-06-24,141.2,139.5,143.27
2024-06-25,129.46,138.21,143.39
2024-06-26,126.89,133.0,142.78
2024-06-27,129.84,142.39,134.6
2024-06-28,137.77,131.9,127.29
2024-06-29,128.9,143.86,125.2
2024-06-30,123.72,147.09,136.5
2024-07-01,135.79,141.26,136.71
2024-07-02,130.35,136.02,143.95
2024-07-03,139.24,141.97,142.48
2024-07-04,128.5,135.96,132.71
2024-07-05,117.38,146.06,123.96
2024-07-06,116.43,124.12,131.56
2024-07-07,140.83,136.33,136.09
2024-07-08,141.71,123.39,133.04
2024-07-09,126.84,127.7,130.38
2024-07-10,125.61,150.97,137.43
2024-07-11,140.81,147.67,131.82
2024-07-12,120.75,135.25,131.32
2024-07-13,122.99,129.52,139.37
2024-07-14,135.88,118.4,134.25
2024-07-15,128.19,138.39,140.04
2024-07-16,131.97,162.76,140.93
2024-07-17,131.4,147.57,130.32
2024-07-18,136.13,140.35,136.31
2024-07-19,145.45,149.3,152.43
2024-07-20,135.7,133.88,132.41
2024-07-21,140.94,144.8,125.59
2024-07-22,120.22,148.81,128.46
2024-07-23,137.08,148.18,144.44
2024-07-24,131.6,156.06,145.32
2024-07-25,129.47,153.37,145.02
2024-07-26,133.09,156.86,156.56
2024-07-27,138.34,146.9,126.37
2024-07-28,149.24,160.49,151.82
